id,branch,message,parent_ids,author,authored_at,committer,committed_at,commit_additions,commit_deletions,changed_files,is_bug_linked,is_fix_related,is_bug_fixing,is_refactoring,file_path,previous_file_path,file_additions,file_deletions,file_id
3b4e76f9aad00c4d4b855e01267c12b579cd0ffc,master,Bump version (0.65.19),['75640590e22652b4964c43fad5dc5b95d0595730'],brave-browser-releases,2019-04-04 12:38:55+00:00,brave-browser-releases,2019-04-04 12:38:55+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
870c116bba5f595a0cafe475d30fca74f6f41ec6,master,Bump version (0.65.20),['3b4e76f9aad00c4d4b855e01267c12b579cd0ffc'],brave-browser-releases,2019-04-04 16:00:26+00:00,brave-browser-releases,2019-04-04 16:00:26+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
870c116bba5f595a0cafe475d30fca74f6f41ec6,master,Bump version (0.65.20),['3b4e76f9aad00c4d4b855e01267c12b579cd0ffc'],brave-browser-releases,2019-04-04 16:00:26+00:00,brave-browser-releases,2019-04-04 16:00:26+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
87bf611ebcacaa1f461a1edc161b658c192fa7a9,master,Bump version (0.65.21),['870c116bba5f595a0cafe475d30fca74f6f41ec6'],brave-browser-releases,2019-04-04 20:00:27+00:00,brave-browser-releases,2019-04-04 20:00:27+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
87bf611ebcacaa1f461a1edc161b658c192fa7a9,master,Bump version (0.65.21),['870c116bba5f595a0cafe475d30fca74f6f41ec6'],brave-browser-releases,2019-04-04 20:00:27+00:00,brave-browser-releases,2019-04-04 20:00:27+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
82c1d5fa38ccf382d2a534d21f851502fd47ce02,master,Bump version (0.65.22),['87bf611ebcacaa1f461a1edc161b658c192fa7a9'],brave-browser-releases,2019-04-05 00:00:24+00:00,brave-browser-releases,2019-04-05 00:00:24+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
82c1d5fa38ccf382d2a534d21f851502fd47ce02,master,Bump version (0.65.22),['87bf611ebcacaa1f461a1edc161b658c192fa7a9'],brave-browser-releases,2019-04-05 00:00:24+00:00,brave-browser-releases,2019-04-05 00:00:24+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
f5978c0e98eb5dc98e45e544d61c8ee79068fe5e,master,"Enable vaapi supportPartially fixes #1024 By default browser will blacklist all drivers on linux for vaapi decoding. To enable it  need to pass `--ignore-gpu-blacklist` in order to get it working since libva has problems atm with intel GPUs. I am hoping that it will be fixed in the future versions. There are a lot of activities in upstream in this.Only adding this support on 64 bit build at the moment. Test case:Run brave with ignore-gpu-blacklist flag and see if the video is playing or notBased on this upstream [commit](https://github.com/chromium/chromium/commit/31225b9c5f3f685d65f742dc129241c30c32157c)Need to add libva 2.4 as a build and runtime dependency.",['82c1d5fa38ccf382d2a534d21f851502fd47ce02'],akarshanbiswas,2019-04-05 06:45:58+00:00,,2019-04-05 06:45:58+00:00,5,0,1,False,True,False,False,lib/config.js,lib/config.js,5,0,1cafc35f-9fc5-11ec-92c0-482ae32cf5b4
c77da28c02a8b09dbeb8ec4f27306da4b8f9ccf4,master,Bump version (0.65.23),['82c1d5fa38ccf382d2a534d21f851502fd47ce02'],brave-browser-releases,2019-04-05 12:00:25+00:00,brave-browser-releases,2019-04-05 12:00:25+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
c77da28c02a8b09dbeb8ec4f27306da4b8f9ccf4,master,Bump version (0.65.23),['82c1d5fa38ccf382d2a534d21f851502fd47ce02'],brave-browser-releases,2019-04-05 12:00:25+00:00,brave-browser-releases,2019-04-05 12:00:25+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
798be2218f10ab2f89b978bf7bd445d1c866e24a,master,Bump version (0.65.24),['c77da28c02a8b09dbeb8ec4f27306da4b8f9ccf4'],brave-browser-releases,2019-04-05 16:01:23+00:00,brave-browser-releases,2019-04-05 16:01:23+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
