id,branch,message,parent_ids,author,authored_at,committer,committed_at,commit_additions,commit_deletions,changed_files,is_bug_linked,is_fix_related,is_bug_fixing,is_refactoring,file_path,previous_file_path,file_additions,file_deletions,file_id
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,.gitignore,.gitignore,5,0,34b518a5-9fc5-11ec-8db4-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,build/build.js,build/build.js,124,0,34b518a6-9fc5-11ec-86c4-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,package.json,package.json,38,0,34b518a7-9fc5-11ec-8932-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/compiler/codegen.js,src/compiler/codegen.js,129,0,34b518a8-9fc5-11ec-8ff9-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/compiler/html-parser.js,src/compiler/html-parser.js,389,0,34b518a9-9fc5-11ec-a3a2-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/compiler/index.js,src/compiler/index.js,10,0,34b518aa-9fc5-11ec-a5e3-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/config.js,src/config.js,79,0,34b518ac-9fc5-11ec-9465-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/index.js,src/index.js,3,0,34b518ad-9fc5-11ec-ae66-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/instance/index.js,src/instance/index.js,85,0,34b518af-9fc5-11ec-8fd5-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/observer/array.js,src/observer/array.js,88,0,34b518b0-9fc5-11ec-bcd0-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/observer/batcher.js,src/observer/batcher.js,107,0,34b518b1-9fc5-11ec-bd53-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/observer/dep.js,src/observer/dep.js,58,0,34b518b2-9fc5-11ec-b636-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/observer/index.js,src/observer/index.js,240,0,34b518b3-9fc5-11ec-a03b-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/observer/watcher.js,src/observer/watcher.js,319,0,34b518b4-9fc5-11ec-bb70-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/util/debug.js,src/util/debug.js,24,0,34b518b6-9fc5-11ec-b96e-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/util/dom.js,src/util/dom.js,388,0,34b518b7-9fc5-11ec-bc32-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/util/env.js,src/util/env.js,106,0,34b518b8-9fc5-11ec-9b86-482ae32cf5b4
a879ec06ef9504db8df2a19aac0d07609fe36131,dev,init,[],yyx990803,2016-04-11 02:47:28+00:00,yyx990803,2016-04-11 02:47:28+00:00,3671,0,35,False,False,False,False,src/util/index.js,src/util/index.js,7,0,34b518b9-9fc5-11ec-952d-482ae32cf5b4
